archiv studi – sever read materi includ book|2,0.001241721854304636;3,0.3333
naïv bay|2,0.0016556291390728477
keyword extract|2,0.0016556291390728477
supervisor match system|2,0.007174392935982339
term frequenc|2,0.0037251655629139072
relev supervisor|2,0.007036423841059602
right techniqu|2,0.0012417218543046358
relev word|2,0.0028973509933774835
experi –|2,0.0020695364238410598
project base|2,0.0041390728476821195
fuzzi logic|2,0.004552980132450331
probabilist model|2,0.0012417218543046358
particular document|2,0.0028973509933774835
supervisor base|2,0.006622516556291391
insuffici inform|2,0.0016556291390728477
research question|2,0.004552980132450331
project seek|2,0.0033112582781456954
project ensur|2,0.0033112582781456954
one ’|2,0.0033112582781456954
may aris|2,0.0020695364238410598
match student|2,0.004552980132450332
research method|2,0.0041390728476821195
particular student|2,0.0053807947019867556
tradit logic|2,0.0037251655629139072
logic poss|2,0.0033112582781456954
huge bodi|2,0.0024834437086092716
current system|2,0.004552980132450331
supervis process|2,0.008278145695364239
suitabl approach|2,0.0028973509933774835
research propos|2,0.004552980132450331
current approach|2,0.0028973509933774835
match keyword|2,0.0012417218543046358
help identifi|2,0.0012417218543046358
categor match|2,0.0024834437086092716
student close|2,0.004552980132450332
interact student|2,0.004552980132450332
exist student|2,0.004552980132450332
propos investig|2,0.0016556291390728477
may affect|2,0.0016556291390728477
latter ’|2,0.0028973509933774835
former ’|2,0.0028973509933774835
follow question|2,0.0024834437086092716
subscrib system|2,0.0037251655629139072
student end|2,0.0053807947019867556
student easier|2,0.0053807947019867556
dynam system|2,0.0037251655629139072
structur approach|2,0.0020695364238410598
research object|2,0.0041390728476821195
research aim|2,0.0041390728476821195
effect handl|2,0.0024834437086092716
appropri supervisor|2,0.0037251655629139072
applic ’|2,0.004966887417218543
vazquez r|2,0.0008278145695364238
univers need|2,0.0024834437086092716
undergradu dissert|2,0.0008278145695364238
tertiari institut|2,0.0008278145695364238
suitabl supervisor|2,0.003311258278145696
suggest item|2,0.0008278145695364238
specif task|2,0.0008278145695364238
semant comprehens|2,0.0008278145695364238
search strategi|2,0.0008278145695364238
sanfiz j|2,0.0008278145695364238
predefin deadlin|2,0.0008278145695364238
norliza zaini|2,0.0008278145695364238
might encount|2,0.0008278145695364238
meaning word|2,0.0016556291390728477
mani time|2,0.0008278145695364238
limit period|2,0.0008278145695364238
kasim terzic|2,0.0008278145695364238
jkuat ),|2,0.0008278145695364238
involv parti|2,0.0020695364238410598
intern confer|2,0.0012417218543046358
huge bottleneck|2,0.0016556291390728477
good metric|2,0.0008278145695364238
give word|2,0.0012417218543046358
gintar zemaityt|2,0.0008278145695364238
fulli involv|2,0.0016556291390728477
everi graduat|2,0.0008278145695364238
european confer|2,0.0012417218543046358
essenti part|2,0.0008278145695364238
equal vital|2,0.0008278145695364238
drive question|2,0.0008278145695364238
differ adjust|2,0.0008278145695364238
desir effect|2,0.0008278145695364238
critic junctur|2,0.0008278145695364238
credibl sourc|2,0.0008278145695364238
could appli|2,0.0008278145695364238
condit linearli|2,0.0008278145695364238
compet develop|2,0.0008278145695364238
common word|2,0.0020695364238410598
common ground|2,0.0012417218543046358
becom cumbersom|2,0.0008278145695364238
avoid mishap|2,0.0008278145695364238
appropri guidelin|2,0.0020695364238410598
anoth benefit|2,0.0008278145695364238
also left|2,0.0012417218543046358
also give|2,0.0016556291390728477
2017 ).|2,0.0016556291390728477
supervis justif|2,0.0033112582781456954
applic requir|2,0.0037251655629139072
applic aim|2,0.0033112582781456954
problem statement|2,0.0016556291390728477
huge problem|2,0.0024834437086092716
follow object|2,0.0020695364238410598
effect solut|2,0.0020695364238410598
skew due|2,0.0012417218543046358
real time|2,0.0012417218543046358
meet up|2,0.0012417218543046358
initi commun|2,0.0012417218543046358
highli ineffici|2,0.0012417218543046358
flexibl metric|2,0.0012417218543046358
expert find|2,0.0012417218543046358
effici way|2,0.0012417218543046358
determin way|2,0.0012417218543046358
commun better|2,0.0012417218543046358
binari 1|2,0.0016556291390728477
allevi stress|2,0.0012417218543046358
supervis plan|2,0.0037251655629139072
limit|2,0.0008278145695364238
dedic expect|2,0.0020695364238410598
process|2,0.01076158940397351
use|2,0.0016556291390728477
rank|2,0.0008278145695364238
offer|2,0.0008278145695364238
student|2,0.009933774834437087
system|2,0.0008278145695364238
research|2,0.006622516556291391
supervisor|2,0.0041390728476821195
scienc|2,0.0016556291390728477
requir|2,0.0016556291390728477
platform|2,0.0024834437086092716
comput|2,0.0016556291390728477
come|2,0.0008278145695364238
supervis|2,0.005794701986754967
applic|2,0.004966887417218543
problem|2,0.0008278145695364238
follow|2,0.0008278145695364238
effect|2,0.0016556291390728477
way|2,0.0016556291390728477
time|2,0.0016556291390728477
stress|2,0.0016556291390728477
skew|2,0.0016556291390728477
plan|2,0.0008278145695364238
need|2,0.0008278145695364238
metric|2,0.0016556291390728477
meet|2,0.0016556291390728477
ineffici|2,0.0016556291390728477
find|2,0.0024834437086092716
expect|2,0.0024834437086092716
effici|2,0.0016556291390728477
dedic|2,0.0016556291390728477
commun|2,0.0016556291390728477
1|2,0.0024834437086092716
zhai|2,0.0008278145695364238
write|2,0.0008278145695364238
workaround|2,0.0008278145695364238
work|2,0.0008278145695364238
well|2,0.0008278145695364238
weak|2,0.0008278145695364238
vol|2,0.0008278145695364238
void|2,0.0008278145695364238
unit|2,0.0008278145695364238
undergrad|2,0.0008278145695364238
type|2,0.0016556291390728477
topss|2,0.0008278145695364238
topic|2,0.0024834437086092716
tf|2,0.0016556291390728477
text|2,0.0033112582781456954
technolog|2,0.0008278145695364238
task|2,0.0008278145695364238
tackl|2,0.0008278145695364238
solut|2,0.0008278145695364238
smoothen|2,0.0008278145695364238
show|2,0.0008278145695364238
scope|2,0.0008278145695364238
scale|2,0.0008278145695364238
satisfi|2,0.0008278145695364238
satisfact|2,0.0016556291390728477
result|2,0.0008278145695364238
reluct|2,0.0008278145695364238
reject|2,0.0008278145695364238
regard|2,0.0008278145695364238
provid|2,0.0016556291390728477
proven|2,0.0008278145695364238
pose|2,0.0008278145695364238
pool|2,0.0008278145695364238
place|2,0.0016556291390728477
petrov|2,0.0008278145695364238
pair|2,0.0008278145695364238
overlook|2,0.0008278145695364238
output|2,0.0008278145695364238
n|2,0.0008278145695364238
moment|2,0.0008278145695364238
manual|2,0.0008278145695364238
make|2,0.0016556291390728477
lot|2,0.0008278145695364238
lectur|2,0.0008278145695364238
languag|2,0.0008278145695364238
l|2,0.0008278145695364238
kenya|2,0.0008278145695364238
jacobsen|2,0.0008278145695364238
issu|2,0.0008278145695364238
introduct|2,0.0008278145695364238
instanc|2,0.0008278145695364238
incorpor|2,0.0008278145695364238
improv|2,0.0008278145695364238
import|2,0.0016556291390728477
implement|2,0.0016556291390728477
ijaa|2,0.0008278145695364238
idf|2,0.0016556291390728477
identifi|2,0.0008278145695364238
html|2,0.0008278145695364238
howev|2,0.0008278145695364238
handl|2,0.0008278145695364238
h|2,0.0016556291390728477
graduat|2,0.0008278145695364238
gate|2,0.0008278145695364238
gap|2,0.0008278145695364238
function|2,0.0008278145695364238
free|2,0.0008278145695364238
focu|2,0.0008278145695364238
fit|2,0.0008278145695364238
fast|2,0.0016556291390728477
fang|2,0.0008278145695364238
expertis|2,0.0016556291390728477
execut|2,0.0008278145695364238
ensur|2,0.0024834437086092716
either|2,0.0008278145695364238
document|2,0.0008278145695364238
digit|2,0.0008278145695364238
diaz|2,0.0008278145695364238
decis|2,0.0008278145695364238
daunt|2,0.0008278145695364238
current|2,0.0008278145695364238
creat|2,0.0008278145695364238
consum|2,0.0008278145695364238
consult|2,0.0008278145695364238
conflat|2,0.0008278145695364238
complet|2,0.0008278145695364238
combin|2,0.0008278145695364238
com|2,0.0008278145695364238
choos|2,0.0008278145695364238
choic|2,0.0016556291390728477
c|2,0.0008278145695364238
burcea|2,0.0008278145695364238
bias|2,0.0008278145695364238
awar|2,0.0008278145695364238
autom|2,0.0008278145695364238
audienc|2,0.0008278145695364238
attain|2,0.0016556291390728477
assist|2,0.0008278145695364238
articl|2,0.0008278145695364238
appear|2,0.0008278145695364238
answer|2,0.0008278145695364238
allow|2,0.0016556291390728477
allevi|2,0.0008278145695364238
algorithm|2,0.0008278145695364238
agricultur|2,0.0008278145695364238
achiev|2,0.0008278145695364238
abl|2,0.0008278145695364238
29|2,0.0008278145695364238
2007|2,0.0008278145695364238
2003|2,0.0008278145695364238
0|2,0.0024834437086092716
